Subject,Relation,Object,Source
Human schwannoma,treat with Ponatinib,decreases viability of merlin-deficient HSC and vestibular schwannoma (VS) cells,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5458238/
ponatinib,promote,g1 arrest of human schwann cell,28427224.txt
ponatinib,promote,g1 cell-cycle arrest of schwann cell,28427224.txt
ponatinib,promote,g1 arrest of schwann cell,28427224.txt
ponatinib,promote,g1 cell-cycle arrest of human schwann cell,28427224.txt
ponatinib,promote,g1 cell-cycle arrest of merlin/nf2-deficient schwann cell,28427224.txt
ponatinib,promote,g1 arrest of merlin/nf2-deficient schwann cell,28427224.txt
ponatinib,promote,g1 cell-cycle arrest of merlin/nf2-deficient human schwann cell,28427224.txt
ponatinib,promote,g1 arrest of merlin/nf2-deficient human schwann cell,28427224.txt
human schwannoma cell,treat with,src inhibitor su6656,28427224.txt
schwannoma cell,treat with,src inhibitor su6656,28427224.txt
result,decrease,activation of pdgfrα β,28427224.txt
ponatinib,reduce,viability of merlin-deficient hsc,28427224.txt
p-akt ser473 level,reduce across,tumor sample,28427224.txt
ponatinib treatment,reduce with,robust arrest at g1 phase ponatinib therapy,28427224.txt
ponatinib treatment,effectively reduce with,robust arrest at g1 phase ponatinib therapy,28427224.txt
ponatinib treatment,reduce viability with,robust arrest at g1 phase ponatinib therapy,28427224.txt
ponatinib treatment,effectively reduce,viability of merlin-deficient hsc,28427224.txt
ponatinib treatment,effectively reduce viability with,robust arrest at g1 phase ponatinib therapy,28427224.txt
ponatinib treatment,reduce with,arrest at g1 phase ponatinib therapy,28427224.txt
ponatinib treatment,effectively reduce with,arrest at g1 phase ponatinib therapy,28427224.txt
ponatinib treatment,reduce viability with,arrest at g1 phase ponatinib therapy,28427224.txt
ponatinib treatment,reduce,viability of merlin-deficient hsc,28427224.txt
ponatinib treatment,effectively reduce viability with,arrest at g1 phase ponatinib therapy,28427224.txt
vegf antibody bevacizumab,shrink,schwannoma,28620005.txt
er,treatment for,neuroﬁ bromatosis type 1-associated breast cancer,2d5c0a196683caf9b73a0c3411f18b0a9df3.txt
